id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
27100542,剑王朝(第1卷大逆),"本书为系列架空仙侠小说，本册为**册。自连灭韩、赵、魏三国，大秦已经迎来**之盛况，强大的修行者层出不穷，人人都以身为秦人而荣，但丁宁，一个出身毫无疑问，看似普通的长陵市井少年，每天所想的，却是颠覆大秦。为了隐藏自己与一位令整个秦国谈之色变的高手之间的关系和自己身负的“九死蚕神功”，他进入白羊洞修行。身负绝学的丁宁，修炼进境大异常人，成为白羊洞有史以来*富潜力的弟子，在白羊洞与青藤剑院争夺秘宝的祭剑大会上初露锋芒。
七大修真王朝，秦主飞剑，楚主炼器、兵家之道，燕主符箓、真火之道，齐主阴神、鬼物之道。
秦虽后起，然灭韩、赵、魏于先，威震楚、燕、齐于后，生逢盛世，秦人与有荣焉。
一位市井少年，日思夜想，竟是弑君上，诛暴秦……
一柄残剑，一段前缘，虽万千人吾往矣……
大秦王朝，一剑横空。一个跌宕起伏的少年成长故事!
以一剑抗一国，一段逆天改命的少年逆袭传奇!",https://dou.img.lithub.cc/book/27100542.jpg,2017-7-1,https://book.douban.com/subject/27100542/,7.2,,4,从开始的硬核武侠到后面的仙侠重生？？？如果无罪大佬能把硬核武侠延续到结局会好看很多吧，我个人比较喜欢武侠,,2020-08-29 07:39:41,无罪 / 2017 / 长江出版社
33424487,时间的秩序,"为什么我们记得过去，而非未来？时间“流逝”意味着什么？是我们存在于时间之内，还是时间存在于我们之中？卡洛·罗韦利用诗意的文字，邀请我们思考这一亘古难题——时间的本质。
在我们的直觉里，时间是全宇宙统一的，稳定地从过去流向未来，可以用钟表度量。可罗韦利向我们揭示出一个奇怪 的宇宙，在这里，时间的特质一一坍塌，在最基本的层面上，时间消失了。他告诉我们，我们对时间流逝的感知，取决于我们的视角……
—
◆“让物理变得性感的男人，下一个史蒂芬·霍金”、意大利物理学家卡洛·罗韦利《七堂极简物理课》之后全新力作。
◆物理学与哲学的完美融合，在习以为常之处，探索世界的惊人真相，用诗意语言、前沿物理学理论探索时间的本质，颠覆我们的常识与直觉。
◆“奇异博士”本尼迪克特·康伯巴奇（卷福）倾情朗读，有声书获得英国国家图书奖。
◆《时代》《自然》《卫报》《新科学家》《纽约时报》等10余家媒体好评推荐。
◆精美装帧，相同开本，延续《七堂极简物理课》《现实不似你所见》《极简科学起源课》的唯美设计。",https://dou.img.lithub.cc/book/33424487.jpg,2019-6,https://book.douban.com/subject/33424487/,8.9,,5,这本书让我明白的最有用的事情也许是：为什么做比想更重要，因为做一件事是比单纯在脑子里想它熵更高的一种状态，而且通过做，我们与周围互动的过程确认了自己的时间与存在。,,2020-07-04 22:56:52,[意] 卡洛·罗韦利 / 2019 / 湖南科学技术出版社
